"id","nombre","apellido","correo","direccion","telefono","carrera_id","createdAt","sexo","FechaNacimiento","updatedAt","matricula","curso_id","estudiante_id","createdAt","updatedAt","id","materia","profesor_id","FechaInicio","FechaFin","sucursal_id","createdAt","updatedAt"
3,Andres,Mendoza,andres.mendoza2@upb.edu,Calle 331 #49,"39184678",17,"2024-06-26",femenino,"2005-03-20","2024-06-26",WH58OFI2WL,1,3,"2024-06-26","2024-06-26",1,1,501,"2024-02-01","2024-03-15",1,"2024-06-26","2024-06-26"
15,Carmen,Sanchez,carmen.sanchez14@upb.edu,Calle 172 #62,"81994169",14,"2024-06-26",prefiero no decirlo,"2001-01-08","2024-06-26","3W6BR6MV79",1,15,"2024-06-26","2024-06-26",1,1,501,"2024-02-01","2024-03-15",1,"2024-06-26","2024-06-26"
120,Elena,Mendoza,elena.mendoza119@upb.edu,Calle 8 #29,"98344595",14,"2024-06-26",masculino,"2001-08-18","2024-06-26",VGAF4RW5V3,1,120,"2024-06-26","2024-06-26",1,1,501,"2024-02-01","2024-03-15",1,"2024-06-26","2024-06-26"
131,Carmen,Lopez,carmen.lopez130@upb.edu,Calle 999 #76,"58705229",2,"2024-06-26",masculino,"2000-04-13","2024-06-26",FMS7VYRT32,1,131,"2024-06-26","2024-06-26",1,1,501,"2024-02-01","2024-03-15",1,"2024-06-26","2024-06-26"
154,Marta,Gonzalez,marta.gonzalez153@upb.edu,Calle 88 #17,"91721374",6,"2024-06-26",masculino,"2003-03-12","2024-06-26","8CZSZKR4DN",1,154,"2024-06-26","2024-06-26",1,1,501,"2024-02-01","2024-03-15",1,"2024-06-26","2024-06-26"
169,Roberto,Martinez,roberto.martinez168@upb.edu,Calle 369 #11,"06606173",19,"2024-06-26",masculino,"2000-11-23","2024-06-26",PWQDBXK3LX,1,169,"2024-06-26","2024-06-26",1,1,501,"2024-02-01","2024-03-15",1,"2024-06-26","2024-06-26"
176,Laura,Reyes,laura.reyes175@upb.edu,Calle 996 #84,"17108119",4,"2024-06-26",masculino,"2005-04-20","2024-06-26",MEU7UELJL3,1,176,"2024-06-26","2024-06-26",1,1,501,"2024-02-01","2024-03-15",1,"2024-06-26","2024-06-26"
188,Elena,Navarro,elena.navarro187@upb.edu,Calle 310 #16,"82001891",30,"2024-06-26",masculino,"2001-01-07","2024-06-26",TNWFCHVJYF,1,188,"2024-06-26","2024-06-26",1,1,501,"2024-02-01","2024-03-15",1,"2024-06-26","2024-06-26"
191,Elena,Garcia,elena.garcia190@upb.edu,Calle 153 #28,"36577214",28,"2024-06-26",femenino,"2002-11-03","2024-06-26","763IRTLJ2A",1,191,"2024-06-26","2024-06-26",1,1,501,"2024-02-01","2024-03-15",1,"2024-06-26","2024-06-26"
195,Maria,Perez,maria.perez194@upb.edu,Calle 349 #80,"66262266",1,"2024-06-26",masculino,"2005-10-25","2024-06-26",LJT54KX7JE,1,195,"2024-06-26","2024-06-26",1,1,501,"2024-02-01","2024-03-15",1,"2024-06-26","2024-06-26"
206,Elena,Romero,elena.romero205@upb.edu,Calle 99 #82,"72980825",7,"2024-06-26",femenino,"2004-10-07","2024-06-26",PZXXAYDJB1,1,206,"2024-06-26","2024-06-26",1,1,501,"2024-02-01","2024-03-15",1,"2024-06-26","2024-06-26"
210,Ana,Mendoza,ana.mendoza209@upb.edu,Calle 957 #76,"12159061",17,"2024-06-26",femenino,"2003-04-10","2024-06-26","9741E7LI4U",1,210,"2024-06-26","2024-06-26",1,1,501,"2024-02-01","2024-03-15",1,"2024-06-26","2024-06-26"
218,Luis,Gonzalez,luis.gonzalez217@upb.edu,Calle 85 #27,"37768434",26,"2024-06-26",prefiero no decirlo,"2004-11-23","2024-06-26",I08UXMMAAC,1,218,"2024-06-26","2024-06-26",1,1,501,"2024-02-01","2024-03-15",1,"2024-06-26","2024-06-26"
225,Isabel,Reyes,isabel.reyes224@upb.edu,Calle 784 #49,"01761799",7,"2024-06-26",masculino,"2004-10-03","2024-06-26",XK8UX7CPE2,1,225,"2024-06-26","2024-06-26",1,1,501,"2024-02-01","2024-03-15",1,"2024-06-26","2024-06-26"
236,Sofia,Reyes,sofia.reyes235@upb.edu,Calle 718 #46,"95044644",2,"2024-06-26",masculino,"2001-08-26","2024-06-26",G4TZ7UZ63C,1,236,"2024-06-26","2024-06-26",1,1,501,"2024-02-01","2024-03-15",1,"2024-06-26","2024-06-26"
267,David,Perez,david.perez266@upb.edu,Calle 362 #65,"55898684",28,"2024-06-26",prefiero no decirlo,"2002-12-14","2024-06-26",SM6J1R9QBA,1,267,"2024-06-26","2024-06-26",1,1,501,"2024-02-01","2024-03-15",1,"2024-06-26","2024-06-26"
268,Roberto,Lopez,roberto.lopez267@upb.edu,Calle 568 #1,"61947943",27,"2024-06-26",masculino,"2000-10-03","2024-06-26",A4MLW20AD5,1,268,"2024-06-26","2024-06-26",1,1,501,"2024-02-01","2024-03-15",1,"2024-06-26","2024-06-26"
279,Roberto,Martinez,roberto.martinez278@upb.edu,Calle 947 #74,"50065583",18,"2024-06-26",prefiero no decirlo,"2004-06-08","2024-06-26",E13C0S4K81,1,279,"2024-06-26","2024-06-26",1,1,501,"2024-02-01","2024-03-15",1,"2024-06-26","2024-06-26"
301,Carmen,Fernandez,carmen.fernandez300@upb.edu,Calle 304 #70,"95670610",25,"2024-06-26",masculino,"2000-07-27","2024-06-26","16VUEAVSKL",1,301,"2024-06-26","2024-06-26",1,1,501,"2024-02-01","2024-03-15",1,"2024-06-26","2024-06-26"
330,Elena,Mendoza,elena.mendoza329@upb.edu,Calle 4 #50,"85057643",24,"2024-06-26",femenino,"2001-09-12","2024-06-26",F2LCRAEBDE,1,330,"2024-06-26","2024-06-26",1,1,501,"2024-02-01","2024-03-15",1,"2024-06-26","2024-06-26"
337,Roberto,Fernandez,roberto.fernandez336@upb.edu,Calle 525 #44,"87597116",10,"2024-06-26",femenino,"2003-08-09","2024-06-26","2R7DWPV0PA",1,337,"2024-06-26","2024-06-26",1,1,501,"2024-02-01","2024-03-15",1,"2024-06-26","2024-06-26"
342,Angela,Rodriguez,angela.rodriguez341@upb.edu,Calle 461 #66,"33690047",23,"2024-06-26",masculino,"2001-03-14","2024-06-26",L63OFFRVJO,1,342,"2024-06-26","2024-06-26",1,1,501,"2024-02-01","2024-03-15",1,"2024-06-26","2024-06-26"
348,Jose,Castro,jose.castro347@upb.edu,Calle 680 #66,"23722253",25,"2024-06-26",femenino,"2001-03-03","2024-06-26","49PI1W44HK",1,348,"2024-06-26","2024-06-26",1,1,501,"2024-02-01","2024-03-15",1,"2024-06-26","2024-06-26"
352,Sofia,Gonzalez,sofia.gonzalez351@upb.edu,Calle 667 #34,"08220077",9,"2024-06-26",femenino,"2004-03-23","2024-06-26",CL2YBE60DF,1,352,"2024-06-26","2024-06-26",1,1,501,"2024-02-01","2024-03-15",1,"2024-06-26","2024-06-26"
377,Isabel,Rodriguez,isabel.rodriguez376@upb.edu,Calle 375 #74,"03296343",14,"2024-06-26",prefiero no decirlo,"2005-10-03","2024-06-26",HOMTBGSH72,1,377,"2024-06-26","2024-06-26",1,1,501,"2024-02-01","2024-03-15",1,"2024-06-26","2024-06-26"
393,Andres,Hernandez,andres.hernandez392@upb.edu,Calle 29 #23,"95938142",8,"2024-06-26",femenino,"2005-10-01","2024-06-26","0VHEIIXKLQ",1,393,"2024-06-26","2024-06-26",1,1,501,"2024-02-01","2024-03-15",1,"2024-06-26","2024-06-26"
417,Lucia,Martinez,lucia.martinez416@upb.edu,Calle 554 #25,"96824508",6,"2024-06-26",femenino,"2005-06-10","2024-06-26",A3VZA6ZZEQ,1,417,"2024-06-26","2024-06-26",1,1,501,"2024-02-01","2024-03-15",1,"2024-06-26","2024-06-26"
443,Ana,Perez,ana.perez442@upb.edu,Calle 733 #49,"24076023",9,"2024-06-26",femenino,"2003-12-22","2024-06-26","0J5OD68LMS",1,443,"2024-06-26","2024-06-26",1,1,501,"2024-02-01","2024-03-15",1,"2024-06-26","2024-06-26"
449,Angela,Reyes,angela.reyes448@upb.edu,Calle 304 #76,"70208598",11,"2024-06-26",prefiero no decirlo,"2004-12-30","2024-06-26",NJ23AC0N0V,1,449,"2024-06-26","2024-06-26",1,1,501,"2024-02-01","2024-03-15",1,"2024-06-26","2024-06-26"
457,Lucia,Castro,lucia.castro456@upb.edu,Calle 28 #97,"90554843",21,"2024-06-26",masculino,"2002-06-06","2024-06-26","2HAKLLOZY5",1,457,"2024-06-26","2024-06-26",1,1,501,"2024-02-01","2024-03-15",1,"2024-06-26","2024-06-26"
460,Andres,Castro,andres.castro459@upb.edu,Calle 260 #34,"11923574",18,"2024-06-26",femenino,"2004-06-29","2024-06-26",GK81ZNXNHW,1,460,"2024-06-26","2024-06-26",1,1,501,"2024-02-01","2024-03-15",1,"2024-06-26","2024-06-26"
483,Marta,Gonzalez,marta.gonzalez482@upb.edu,Calle 275 #26,"14939972",27,"2024-06-26",femenino,"2001-12-31","2024-06-26",DKSLSKRG43,1,483,"2024-06-26","2024-06-26",1,1,501,"2024-02-01","2024-03-15",1,"2024-06-26","2024-06-26"
489,Carmen,Garcia,carmen.garcia488@upb.edu,Calle 540 #78,"02593761",28,"2024-06-26",femenino,"2004-03-01","2024-06-26",UJJ6I8PRJX,1,489,"2024-06-26","2024-06-26",1,1,501,"2024-02-01","2024-03-15",1,"2024-06-26","2024-06-26"
